"NDCNUM","THRCLDS","THRDTDS","ROADS"
"00084016101","Antibiot, Penicillins","Penicillin V",NA
"00084016110","Antibiot, Penicillins","Penicillin V",NA
"00084040001","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00084040005","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00084040010","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00084040410","Antibiot, Tetracyclines","Tetracycline",NA
"00084041001","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00084041005","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00084074301","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00084074310","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00085001305","Antibiot, Aminoglycosides",NA,NA
"00085001306","Antibiot, Aminoglycosides","Gentamicin Sulfate & Comb.","Injection"
"00085006903","Antibiot, Aminoglycosides","Gentamicin Sulfate & Comb.",NA
"00085006904","Antibiot, Aminoglycosides","Gentamicin Sulfate & Comb.","Injection"
"00085006905","Antibiot, Aminoglycosides","Gentamicin Sulfate & Comb.","Injection"
"00085006906","Antibiot, Aminoglycosides","Gentamicin Sulfate & Comb.","Injection"
"00085006908","Antibiot, Aminoglycosides",NA,NA
"00085026402","Antibiot, Aminoglycosides","Netilmicin Sulfate","Injection"
"00085026404","Antibiot, Aminoglycosides","Netilmicin Sulfate",NA
"00085026405","Antibiot, Aminoglycosides","Netilmicin Sulfate",NA
"00085026406","Antibiot, Aminoglycosides","Netilmicin Sulfate",NA
"00085033703","Antibiot, Aminoglycosides","Gentamicin Sulfate & Comb.","Injection"
"00085045902","Antibiot, Aminoglycosides","Netilmicin Sulfate",NA
"00085052703","Antibiot, Aminoglycosides",NA,NA
"00085052704","Antibiot, Aminoglycosides",NA,NA
"00085069101","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085069102","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085069103","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085074303","Antibiot, Aminoglycosides","Netilmicin Sulfate",NA
"00085077701","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085077702","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085077703","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085077704","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085083401","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00085083403","Antibiot, Cephalosporin & Rel.","Ceftibuten","Oral"
"00087078241","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078242","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078305","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078341","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078342","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078407","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078441","Antibiot, Cephalosporin & Rel.","Cefadroxil",NA
"00087078442","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078444","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078446","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078541","Antibiot, Cephalosporin & Rel.","Cefadroxil",NA
"00087078542","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078543","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078544","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078545","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078641","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087078642","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00087737562","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00087737662","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00087771840","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087771862","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087771864","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087771940","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087771962","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087771964","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087772060","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087772066","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087772150","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087772160","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00087772166","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00088222320","Antibiot, Erythromycn&Macrolid","Telithromycin","Oral"
"00088222507","Antibiot, Erythromycn&Macrolid","Telithromycin","Oral"
"00088222541","Antibiot, Erythromycn&Macrolid","Telithromycin","Oral"
"00088222549","Antibiot, Erythromycn&Macrolid","Telithromycin","Oral"
"00093006410","Antibiot, Tetracyclines","Tetracycline",NA
"00093041122","Antibiotics, Misc","Clindamycin",NA
"00093041142","Antibiotics, Misc","Clindamycin",NA
"00093041158","Antibiotics, Misc","Clindamycin",NA
"00093048405","Antibiot, Tetracyclines","Doxycycline",NA
"00093048453","Antibiot, Tetracyclines","Doxycycline",NA
"00093048493","Antibiot, Tetracyclines","Doxycycline",NA
"00093050005","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093050053","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093050093","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093050559","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093053873","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093053874","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093054073","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093054074","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093054101","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093054105","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093054301","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093054305","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093055101","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093055105","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093055152","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093055193","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00093061301","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093061305","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093061505","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093061553","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093062501","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00093062601","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00093064253","Antibiot, Tetracyclines","Doxycycline","Oral"
"00093065305","Antibiot, Tetracyclines","Doxycycline","Oral"
"00093065353","Antibiot, Tetracyclines","Doxycycline","Oral"
"00093065393","Antibiot, Tetracyclines","Doxycycline",NA
"00093070368","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00093070407","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00093070507","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00093070603","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00093070703","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00093070903","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00093074205","Antibiot, Tetracyclines","Doxycycline",NA
"00093074253","Antibiot, Tetracyclines","Doxycycline",NA
"00093074305","Antibiot, Tetracyclines","Doxycycline",NA
"00093074353","Antibiot, Tetracyclines","Doxycycline",NA
"00093074393","Antibiot, Tetracyclines","Doxycycline",NA
"00093075005","Antibiot, Tetracyclines","Doxycycline","Oral"
"00093075053","Antibiot, Tetracyclines","Doxycycline","Oral"
"00093075093","Antibiot, Tetracyclines","Doxycycline",NA
"00093077501","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00093077505","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00093079501","Antibiot, Cephalosporin & Rel.","Cefadroxil",NA
"00093079553","Antibiot, Cephalosporin & Rel.","Cefadroxil",NA
"00093085101","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00093085105","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00093085152","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00093085193","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00093085205","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00093085253","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00093085293","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00093107334","Antibiot, Cephalosporin & Rel.","Cefuroxime","Oral"
"00093107573","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107576","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107578","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107673","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107676","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107678","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107701","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107801","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093107853","Antibiot, Cephalosporin & Rel.","Cefprozil","Oral"
"00093108701","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00093117101","Antibiot, Penicillins","Penicillin V","Oral"
"00093117110","Antibiot, Penicillins","Penicillin V","Oral"
"00093117201","Antibiot, Penicillins","Penicillin V","Oral"
"00093117210","Antibiot, Penicillins","Penicillin V","Oral"
"00093117301","Antibiot, Penicillins","Penicillin V","Oral"
"00093117310","Antibiot, Penicillins","Penicillin V","Oral"
"00093117401","Antibiot, Penicillins","Penicillin V","Oral"
"00093117410","Antibiot, Penicillins","Penicillin V","Oral"
"00093117701","Antibiot, Aminoglycosides","Neomycin Sulfate","Oral"
"00093121501","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00093202623","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093202631","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093202694","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093202723","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093213001","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00093213010","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00093213093","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00093213101","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00093213110","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00093213193","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00093213356","Antibiot, Tetracyclines","Minocycline","Oral"
"00093213456","Antibiot, Tetracyclines","Minocycline","Oral"
"00093215801","Anti-Infectives, Misc","Trimethoprim & Comb.","Oral"
"00093215901","Anti-Infectives, Misc","Trimethoprim & Comb.","Oral"
"00093223801","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093224001","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093226301","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093226401","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093226701","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093226801","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093226805","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093227034","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093227234","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093227434","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093227534","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093227773","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093227973","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310701","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310705","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310719","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310756","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310793","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310905","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310919","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310953","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093310993","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093311101","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093311105","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093311110","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093311301","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093311305","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093311501","Antibiot, Penicillins","Oxacillin","Oral"
"00093311701","Antibiot, Penicillins","Oxacillin","Oral"
"00093311901","Antibiot, Penicillins","Cloxacillin","Oral"
"00093312101","Antibiot, Penicillins","Cloxacillin","Oral"
"00093312301","Antibiot, Penicillins","Dicloxacillin Sodium","Oral"
"00093312501","Antibiot, Penicillins","Dicloxacillin Sodium","Oral"
"00093314501","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093314505","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093314701","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093314705","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093315301","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00093315501","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00093316006","Antibiot, Cephalosporin & Rel.","Cefdinir","Oral"
"00093316501","Antibiot, Tetracyclines","Minocycline","Oral"
"00093316753","Antibiot, Tetracyclines","Minocycline","Oral"
"00093317101","Antibiotics, Misc","Clindamycin","Oral"
"00093319601","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00093319653","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00093405953","Antibiot, Cephalosporin & Rel.","Cefadroxil","Oral"
"00093408563","Antibiot, Aminoglycosides","Tobramycin & Comb.","Inhalation"
"00093412573","Antibiot, Penicillins","Penicillin V","Oral"
"00093412574","Antibiot, Penicillins","Penicillin V","Oral"
"00093412732","Antibiot, Penicillins","Penicillin V","Oral"
"00093412773","Antibiot, Penicillins","Penicillin V","Oral"
"00093412774","Antibiot, Penicillins","Penicillin V","Oral"
"00093413664","Antibiot, Cephalosporin & Rel.","Cefdinir","Oral"
"00093413673","Antibiot, Cephalosporin & Rel.","Cefdinir","Oral"
"00093413764","Antibiot, Cephalosporin & Rel.","Cefdinir","Oral"
"00093413773","Antibiot, Cephalosporin & Rel.","Cefdinir","Oral"
"00093415073","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093415079","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093415080","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093415573","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093415579","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093415580","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093415773","Antibiot, Penicillins","Oxacillin","Oral"
"00093415973","Antibiot, Penicillins","Cloxacillin","Oral"
"00093415974","Antibiot, Penicillins","Cloxacillin","Oral"
"00093416073","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093416076","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093416078","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093416173","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093416176","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093416178","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093417064","Antibiot, Tetracyclines","Doxycycline","Oral"
"00093417573","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093417574","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093417773","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093417774","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00093514501","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093514505","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093514601","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093514605","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00093519401","Antibiot, Penicillins","Penicillin V","Oral"
"00093519410","Antibiot, Penicillins","Penicillin V","Oral"
"00093519501","Antibiot, Penicillins","Penicillin V","Oral"
"00093519505","Antibiot, Penicillins","Penicillin V","Oral"
"00093519873","Antibiot, Penicillins","Penicillin V","Oral"
"00093519874","Antibiot, Penicillins","Penicillin V","Oral"
"00093519973","Antibiot, Penicillins","Penicillin V","Oral"
"00093519974","Antibiot, Penicillins","Penicillin V","Oral"
"00093525601","Antibiotics, Misc","Clindamycin","Oral"
"00093525668","Antibiotics, Misc","Clindamycin","Oral"
"00093714609","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714618","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714656","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714693","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714756","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714823","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714923","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714931","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093714994","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093715706","Antibiot, Erythromycn&Macrolid","Clarithromycin","Oral"
"00093715806","Antibiot, Erythromycn&Macrolid","Clarithromycin","Oral"
"00093716919","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093716933","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093716956","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093716990","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093716993","Antibiot, Erythromycn&Macrolid","Azithromycin","Oral"
"00093724406","Antibiot, Erythromycn&Macrolid","Clarithromycin","Oral"
"00093730001","Antibiot, Tetracyclines","Minocycline","Oral"
"00093749019","Antibiotics, Misc","Linezolid","Oral"
"00093749034","Antibiotics, Misc","Linezolid","Oral"
"00093749065","Antibiotics, Misc","Linezolid","Oral"
"00093774156","Antibiot, Tetracyclines","Minocycline","Oral"
"00093774256","Antibiot, Tetracyclines","Minocycline","Oral"
"00093774356","Antibiot, Tetracyclines","Minocycline","Oral"
"00093805514","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093805578","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093824419","Antibiotics, Misc","Linezolid","Oral"
"00093824434","Antibiotics, Misc","Linezolid","Oral"
"00093824465","Antibiotics, Misc","Linezolid","Oral"
"00093867574","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093867575","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00093867578","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00094510169","Antibiot, Tetracyclines","Doxycycline",NA
"00094510201","Antibiot, Tetracyclines","Doxycycline",NA
"00094510353","Antibiot, Aminoglycosides","Kanamycin",NA
"00094510453","Antibiot, Aminoglycosides","Kanamycin",NA
"00094510561","Antibiot, Aminoglycosides","Kanamycin",NA
"00094510669","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00094510675","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00102101003","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101101","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101105","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101210","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101310","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101320","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101410","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101510","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102101520","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00102109001","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00102109003","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00102109101","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00102120001","Antibiot, Penicillins","Penicillin V",NA
"00102120010","Antibiot, Penicillins","Penicillin V",NA
"00102120501","Antibiot, Penicillins","Penicillin V",NA
"00102121010","Antibiot, Penicillins","Penicillin V",NA
"00102121110","Antibiot, Penicillins","Penicillin V",NA
"00102121120","Antibiot, Penicillins","Penicillin V",NA
"00102122010","Antibiot, Penicillins","Penicillin V",NA
"00102122110","Antibiot, Penicillins","Penicillin V",NA
"00102122120","Antibiot, Penicillins","Penicillin V",NA
"00102134002","Antibiot, Tetracyclines","Tetracycline",NA
"00102135005","Antibiot, Tetracyclines","Tetracycline",NA
"00102147004","Antibiot, Tetracyclines","Doxycycline",NA
"00102180001","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102180201","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102180501","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102181001","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102181502","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102181510","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102181580","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102182001","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102182201","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102182502","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102182510","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102182580","Antibiot, Penicillins","Amoxicillin & Comb.",NA
"00102272501","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00102282001","Antibiot, Tetracyclines","Doxycycline",NA
"00102282501","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00102295501","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00102296550","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00102305501","Antibiot, Tetracyclines","Doxycycline",NA
"00102360001","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00102360501","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00102366501","Anti-Infectives, Misc","Trimethoprim & Comb.",NA
"00102367501","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00102368001","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00102369010","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00102369020","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00102369520","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00102370010","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00102370020","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00102370520","Antibiot, Cephalosporin & Rel.","Cephalexin",NA
"00115124501","Antibiot, Tetracyclines","Minocycline","Oral"
"00115124508","Antibiot, Tetracyclines","Minocycline","Oral"
"00115124601","Antibiot, Tetracyclines","Minocycline","Oral"
"00115124608","Antibiot, Tetracyclines","Minocycline","Oral"
"00115124701","Antibiot, Tetracyclines","Minocycline","Oral"
"00115124708","Antibiot, Tetracyclines","Minocycline","Oral"
"00115132713","Antibiot, Tetracyclines","Doxycycline","Oral"
"00115139903","Antibiot, Tetracyclines","Tetracycline","Oral"
"00115140001","Antibiot, Tetracyclines","Tetracycline","Oral"
"00115140003","Antibiot, Tetracyclines","Tetracycline","Oral"
"00115140201","Antibiot, Tetracyclines","Tetracycline","Oral"
"00115140203","Antibiot, Tetracyclines","Tetracycline","Oral"
"00115140501","Antibiot, Tetracyclines","Tetracycline","Oral"
"00115140503","Antibiot, Tetracyclines","Tetracycline","Oral"
"00115164301","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00115164501","Urinary Anti-Infectives, NEC","Nitrofurantoin","Oral"
"00115211101","Antibiot, Tetracyclines","Demeclocycline","Oral"
"00115212214","Antibiot, Tetracyclines","Demeclocycline","Oral"
"00115239001","Urinary Anti-Infectives, NEC","Sulfisoxazole/Phenazopyridine",NA
"00115239003","Urinary Anti-Infectives, NEC","Sulfisoxazole/Phenazopyridine",NA
"00115701701","Antibiot, Tetracyclines","Minocycline","Oral"
"00115701806","Antibiot, Tetracyclines","Minocycline","Oral"
"00115701813","Antibiot, Tetracyclines","Minocycline","Oral"
"00115705401","Antibiot, Tetracyclines","Minocycline","Oral"
"00121086720","Antibiotics, Misc","Vancomycin & Comb.","Oral"
"00121089020","Antibiotics, Misc","Vancomycin & Comb.","Oral"
"00143129525","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00143129725","Anti-Infectives, Misc","Metronidazole & Comb.","Oral"
"00143136601","Urinary Anti-Infectives, NEC","Nitrofurantoin",NA
"00143136701","Urinary Anti-Infectives, NEC","Nitrofurantoin",NA
"00143138501","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00143139001","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00143139501","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00143140001","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00143211001","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00143211205","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143211250","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143217101","Urinary Anti-Infectives, NEC","Sulfisoxazole/Phenazopyridine",NA
"00143217110","Urinary Anti-Infectives, NEC","Sulfisoxazole/Phenazopyridine",NA
"00143227001","Antibiot, Penicillins","Penicillin V",NA
"00143306201","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00143306301","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00143314105","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143314125","Antibiot, Tetracyclines","Doxycycline",NA
"00143314150","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143314205","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143314214","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143314225","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143314250","Antibiot, Tetracyclines","Doxycycline","Oral"
"00143321001","Antibiot, Tetracyclines","Oxytetracycline & Comb.","Oral"
"00143321010","Antibiot, Tetracyclines","Oxytetracycline & Comb.","Oral"
"00143329501","Antibiot, Tetracyclines","Tetracycline",NA
"00143329510","Antibiot, Tetracyclines","Tetracycline",NA
"00143329525","Antibiot, Tetracyclines","Tetracycline",NA
"00143330001","Antibiot, Tetracyclines","Tetracycline",NA
"00143330010","Antibiot, Tetracyclines","Tetracycline",NA
"00143406716","Antibiot, Tetracyclines","Tetracycline",NA
"00143924920","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00143926101","Antibiot, Cephalosporin & Rel.","Cefazolin","Intravenous"
"00143926110","Antibiot, Cephalosporin & Rel.","Cefazolin","Intravenous"
