COND,DX,ICD,ICD_DESC
Asthma,49302,9,EXT ASTHMA W/ ACUTE EXACERBATION (Begin 2000)
Asthma,49310,9,INT ASTHMA W/O STAT ASTH
Asthma,49311,9,INT ASTHMA W STATUS ASTH
Asthma,49312,9,INT ASTHMA W/ ACUTE EXACERBATION (Begin 2000)
Asthma,49320,9,CH OB ASTH W/O STAT ASTH (Begin 1989)
Asthma,49321,9,CH OB ASTHMA W STAT ASTH (Begin 1989)
Asthma,49322,9,CH OB ASTHMA W/ACUTE EXACERBATION (Begin 2000)
Asthma,49381,9,EXERCISE INDUCED BRONCHOSPASM (Begin 2003)
Asthma,49382,9,COUGH VARIANT ASTHMA (Begin 2003)
Asthma,49390,9,ASTHMA W/O STATUS ASTHM
Asthma,49391,9,ASTHMA W/ STATUS ASTHMAT
Asthma,49392,9,ASTHMA W/ ACUTE EXACERBATION (Begin 2000)
Intestinal infection,0010,9,CHOLERA D/T VIB CHOLERAE
Intestinal infection,0011,9,CHOLERA D/T VIB EL TOR
Intestinal infection,0019,9,CHOLERA NOS
Intestinal infection,0020,9,TYPHOID FEVER
Intestinal infection,0021,9,PARATYPHOID FEVER A
Intestinal infection,0022,9,PARATYPHOID FEVER B
Intestinal infection,0023,9,PARATYPHOID FEVER C
Intestinal infection,0029,9,PARATYPHOID FEVER NOS
Intestinal infection,0030,9,SALMONELLA ENTERITIS
Intestinal infection,00320,9,LOCAL SALMONELLA INF NOS
Intestinal infection,00329,9,LOCAL SALMONELLA INF NEC
Intestinal infection,0038,9,SALMONELLA INFECTION NEC
Intestinal infection,0039,9,SALMONELLA INFECTION NOS
Intestinal infection,0040,9,SHIGELLA DYSENTERIAE
Intestinal infection,0041,9,SHIGELLA FLEXNERI
Intestinal infection,0042,9,SHIGELLA BOYDII
Intestinal infection,0043,9,SHIGELLA SONNEI
Intestinal infection,0048,9,SHIGELLA INFECTION NEC
Intestinal infection,0049,9,SHIGELLOSIS NOS
Intestinal infection,0050,9,STAPH FOOD POISONING
Intestinal infection,0051,9,BOTULISM
Intestinal infection,0052,9,FOOD POIS D/T C. PERFRIN
Intestinal infection,0053,9,FOOD POIS: CLOSTRID NEC
Intestinal infection,0054,9,FOOD POIS: V. PARAHAEM
Intestinal infection,0058,9,BACT FOOD POISONING NEC (End 1995)
Intestinal infection,00581,9,FOOD POISONING VIBRIO (Begin 1995)
Intestinal infection,00589,9,OTH BACT FOOD POISONING (Begin 1995)
Intestinal infection,0059,9,FOOD POISONING NOS
Intestinal infection,0060,9,AC AMEBIASIS W/O ABSCESS
Intestinal infection,0061,9,CHR AMEBIASIS W/O ABSCES
Intestinal infection,0062,9,AMEBIC NONDYSENT COLITIS
Intestinal infection,0063,9,AMEBIC LIVER ABSCESS
Intestinal infection,0064,9,AMEBIC LUNG ABSCESS
Intestinal infection,0065,9,AMEBIC BRAIN ABSCESS
Intestinal infection,0066,9,AMEBIC SKIN ULCERATION
Intestinal infection,0068,9,AMEBIC INFECTION NEC
Intestinal infection,0069,9,AMEBIASIS NOS
Intestinal infection,0070,9,BALANTIDIASIS
Intestinal infection,0071,9,GIARDIASIS
Intestinal infection,0072,9,COCCIDIOSIS
Intestinal infection,0073,9,INTEST TRICHOMONIASIS
Intestinal infection,0074,9,OT PROTOZ INTEST DX- CRYP (Begin 1997)
Intestinal infection,0075,9,CYCLOSPORIASIS (Begin 2000)
Intestinal infection,0078,9,PROTOZOAL INTEST DIS NEC
Intestinal infection,0079,9,PROTOZOAL INTEST DIS NOS
Intestinal infection,0080,9,E. COLI ENTERITIS (Begin 1980 End 1992)
Intestinal infection,00800,9,E. COLI ENTERITIS-NOS (Begin 1992)
Intestinal infection,00801,9,E. COLI ENTERITIS-PATH (Begin 1992)
Intestinal infection,00802,9,E. COLI ENTERITIS-TOX (Begin 1992)
Intestinal infection,00803,9,E. COLI ENTERITIS-INVAS (Begin 1992)
Intestinal infection,00804,9,E. COLI ENTERITIS-HEMOR (Begin 1992)
Intestinal infection,00809,9,E. COLI ENTERITIS-OTHER (Begin 1992)
Intestinal infection,0081,9,ARIZONA ENTERITIS
Intestinal infection,0082,9,AEROBACTER ENTERITIS
Intestinal infection,0083,9,PROTEUS ENTERITIS
Intestinal infection,00841,9,STAPHYLOCOCC ENTERITIS
Intestinal infection,00842,9,PSEUDOMONAS ENTERITIS
Intestinal infection,00843,9,CAMPYLOBACTER (Begin 1992)
Intestinal infection,00844,9,YERSINIA (Begin 1992)
Intestinal infection,00845,9,CLOSTRIDIUM DIF (Begin 1992)
Intestinal infection,00846,9,OTHER ANAEROBES (Begin 1992)
Intestinal infection,00847,9,OTH GRAM NEG BACT (Begin 1992)
Intestinal infection,00849,9,BACTERIAL ENTERITIS NEC
Intestinal infection,0085,9,BACTERIAL ENTERITIS NOS
Intestinal infection,0086,9,VIRAL ENTERITIS NEC (Begin 1980 End 1992)
Intestinal infection,00861,9,ROTAVIRUS ENTERITIS (Begin 1992)
Intestinal infection,00862,9,ADENOVIR ENTERITIS (Begin 1992)
Intestinal infection,00863,9,NORWALK VIR ENTERITIS (Begin 1992)
Intestinal infection,00864,9,SML ROUND VIR ENTERITIS (Begin 1992)
Intestinal infection,00865,9,CALCIVIRUS ENTERITIS (Begin 1992)
Intestinal infection,00866,9,ASTROVIRUS ENTERITIS (Begin 1992)
Intestinal infection,00867,9,ENTERITIS NEC (Begin 1992)
Intestinal infection,00869,9,ENTERITIS NOS (Begin 1992)
Intestinal infection,0088,9,VIRAL ENTERITIS NOS
Intestinal infection,0090,9,INFECTIOUS ENTERITIS NOS
Intestinal infection,0091,9,ENTERITIS OF INFECT ORIG
Intestinal infection,0092,9,INFECTIOUS DIARRHEA NOS
Intestinal infection,0093,9,DIARRHEA OF INFECT ORIG
Intestinal infection,0211,9,ENTERIC TULAREMIA
Intestinal infection,0222,9,GASTROINTESTINAL ANTHRAX
UTI,03284,9,DIPHTHERITIC CYSTITIS
UTI,59000,9,CHR PYELONEPHRITIS NOS
UTI,59001,9,CHR PYELONEPH W MED NECR
UTI,59010,9,AC PYELONEPHRITIS NOS
UTI,59011,9,AC PYELONEPHR W MED NECR
UTI,5902,9,RENAL/PERIRENAL ABSCESS
UTI,5903,9,PYELOURETERITIS CYSTICA
UTI,59080,9,PYELONEPHRITIS NOS
UTI,59081,9,PYELONEPHRIT IN OTH DIS
UTI,5909,9,INFECTION OF KIDNEY NOS
UTI,5950,9,ACUTE CYSTITIS
UTI,5951,9,CHR INTERSTIT CYSTITIS
UTI,5952,9,CHRONIC CYSTITIS NEC
UTI,5953,9,TRIGONITIS
UTI,5954,9,CYSTITIS IN OTH DIS
UTI,59581,9,CYSTITIS CYSTICA
UTI,59582,9,IRRADIATION CYSTITIS
UTI,59589,9,CYSTITIS NEC
UTI,5959,9,CYSTITIS NOS
UTI,5970,9,URETHRAL ABSCESS
UTI,59780,9,URETHRITIS NOS
UTI,59781,9,URETHRAL SYNDROME NOS
UTI,59789,9,URETHRITIS NEC
UTI,59800,9,URETHR STRICT:INFECT NOS
UTI,59801,9,URETH STRICT:OTH INFECT
UTI,5990,9,URIN TRACT INFECTION NOS
SSTI,0201,9,CELLULOCUTANEOUS PLAGUE
SSTI,0210,9,ULCEROGLANDUL TULAREMIA
SSTI,0220,9,CUTANEOUS ANTHRAX
SSTI,0311,9,CUTANEOUS MYCOBACTERIA
SSTI,03285,9,CUTANEOUS DIPHTHERIA
SSTI,035,9,ERYSIPELAS
SSTI,0390,9,CUTANEOUS ACTINOMYCOSIS
SSTI,6800,9,CARBUNCLE OF FACE
SSTI,6801,9,CARBUNCLE OF NECK
SSTI,6802,9,CARBUNCLE OF TRUNK
SSTI,6803,9,CARBUNCLE OF ARM
SSTI,6804,9,CARBUNCLE OF HAND
SSTI,6805,9,CARBUNCLE OF BUTTOCK
SSTI,6806,9,CARBUNCLE OF LEG
SSTI,6807,9,CARBUNCLE OF FOOT
SSTI,6808,9,CARBUNCLE- SITE NEC
SSTI,6809,9,CARBUNCLE NOS
SSTI,68100,9,CELLULITIS- FINGER NOS
SSTI,68101,9,FELON
SSTI,68102,9,ONYCHIA OF FINGER
SSTI,68110,9,CELLULITIS- TOE NOS
SSTI,68111,9,ONYCHIA OF TOE
SSTI,6819,9,CELLULITIS OF DIGIT NOS
SSTI,6820,9,CELLULITIS OF FACE
SSTI,6821,9,CELLULITIS OF NECK
SSTI,6822,9,CELLULITIS OF TRUNK
SSTI,6823,9,CELLULITIS OF ARM
SSTI,6824,9,CELLULITIS OF HAND
SSTI,6825,9,CELLULITIS OF BUTTOCK
SSTI,6826,9,CELLULITIS OF LEG
SSTI,6827,9,CELLULITIS OF FOOT
SSTI,6828,9,CELLULITIS- SITE NEC
SSTI,6829,9,CELLULITIS NOS
SSTI,684,9,IMPETIGO
SSTI,6850,9,PILONIDAL CYST W ABSCESS
SSTI,6851,9,PILONIDAL CYST W/O ABSC
SSTI,6860,9,PYODERMA (End 1997)
SSTI,68600,9,PYODERMA NOS (Begin 1997)
SSTI,68601,9,PYODERMA GANGREN (Begin 1997)
SSTI,68609,9,PYODERMA NEC (Begin 1997)
SSTI,6861,9,PYOGENIC GRANULOMA
SSTI,6868,9,LOCAL SKIN INFECTION NEC
SSTI,6869,9,LOCAL SKIN INFECTION NOS
Routine child health exam,V202,9,ROUTIN CHILD HEALTH EXAM
Intestinal infection,A000,0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
Intestinal infection,A000,0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
Intestinal infection,A001,0,"Cholera due to Vibrio cholerae 01, biovar eltor"
Intestinal infection,A001,0,"Cholera due to Vibrio cholerae 01, biovar eltor"
Intestinal infection,A009,0,"Cholera, unspecified"
Intestinal infection,A009,0,"Cholera, unspecified"
Intestinal infection,A0100,0,"Typhoid fever, unspecified"
Intestinal infection,A0100,0,"Typhoid fever, unspecified"
Bacterial infection (other),A0101,0,Typhoid meningitis
Bacterial infection (other),A0101,0,Typhoid meningitis
Bacterial infection (other),A0102,0,Typhoid fever with heart involvement
Pneumonia,A0103,0,Typhoid pneumonia
Pneumonia,A0103,0,Typhoid pneumonia
Bacterial infection (other),A0104,0,Typhoid arthritis
Bacterial infection (other),A0104,0,Typhoid arthritis
Bacterial infection (other),A0105,0,Typhoid osteomyelitis
Bacterial infection (other),A0105,0,Typhoid osteomyelitis
Intestinal infection,A0109,0,Typhoid fever with other complications
Intestinal infection,A0109,0,Typhoid fever with other complications
Intestinal infection,A011,0,Paratyphoid fever A
Intestinal infection,A011,0,Paratyphoid fever A
Intestinal infection,A012,0,Paratyphoid fever B
Intestinal infection,A012,0,Paratyphoid fever B
Intestinal infection,A013,0,Paratyphoid fever C
Intestinal infection,A013,0,Paratyphoid fever C
Intestinal infection,A014,0,"Paratyphoid fever, unspecified"
Intestinal infection,A014,0,"Paratyphoid fever, unspecified"
Intestinal infection,A020,0,Salmonella enteritis
Intestinal infection,A020,0,Salmonella enteritis
Bacterial infection (other),A021,0,Salmonella sepsis
Bacterial infection (other),A021,0,Salmonella sepsis
Bacterial infection (other),A0220,0,"Localized salmonella infection, unspecified"
Bacterial infection (other),A0221,0,Salmonella meningitis
Bacterial infection (other),A0221,0,Salmonella meningitis
Pneumonia,A0222,0,Salmonella pneumonia
Pneumonia,A0222,0,Salmonella pneumonia
Bacterial infection (other),A0223,0,Salmonella arthritis
Bacterial infection (other),A0223,0,Salmonella arthritis
Bacterial infection (other),A0224,0,Salmonella osteomyelitis
Bacterial infection (other),A0224,0,Salmonella osteomyelitis
UTI,A0225,0,Salmonella pyelonephritis
UTI,A0225,0,Salmonella pyelonephritis
Intestinal infection,A0229,0,Salmonella with other localized infection
Intestinal infection,A0229,0,Salmonella with other localized infection
Bacterial infection (other),A028,0,Other specified salmonella infections
Intestinal infection,A029,0,"Salmonella infection, unspecified"
Intestinal infection,A029,0,"Salmonella infection, unspecified"
Intestinal infection,A030,0,Shigellosis due to Shigella dysenteriae
Intestinal infection,A030,0,Shigellosis due to Shigella dysenteriae
Intestinal infection,A031,0,Shigellosis due to Shigella flexneri
Intestinal infection,A031,0,Shigellosis due to Shigella flexneri
Intestinal infection,A032,0,Shigellosis due to Shigella boydii
Intestinal infection,A032,0,Shigellosis due to Shigella boydii
Intestinal infection,A033,0,Shigellosis due to Shigella sonnei
Intestinal infection,A033,0,Shigellosis due to Shigella sonnei
Intestinal infection,A038,0,Other shigellosis
Intestinal infection,A038,0,Other shigellosis
Intestinal infection,A039,0,"Shigellosis, unspecified"
Intestinal infection,A039,0,"Shigellosis, unspecified"
Intestinal infection,A040,0,Enteropathogenic Escherichia coli infection
Intestinal infection,A040,0,Enteropathogenic Escherichia coli infection
Intestinal infection,A041,0,Enterotoxigenic Escherichia coli infection
Intestinal infection,A041,0,Enterotoxigenic Escherichia coli infection
Intestinal infection,A042,0,Enteroinvasive Escherichia coli infection
Intestinal infection,A042,0,Enteroinvasive Escherichia coli infection
Intestinal infection,A043,0,Enterohemorrhagic Escherichia coli infection
Intestinal infection,A043,0,Enterohemorrhagic Escherichia coli infection
Intestinal infection,A044,0,Other intestinal Escherichia coli infections
Intestinal infection,A044,0,Other intestinal Escherichia coli infections
Intestinal infection,A045,0,Campylobacter enteritis
Intestinal infection,A045,0,Campylobacter enteritis
Intestinal infection,A046,0,Enteritis due to Yersinia enterocolitica
Intestinal infection,A046,0,Enteritis due to Yersinia enterocolitica
Intestinal infection,A047,0,Enterocolitis due to Clostridium difficile
Intestinal infection,A047,0,Enterocolitis due to Clostridium difficile
Intestinal infection,A0471,0,"Enterocolitis due to Clostridium difficile, recurrent"
Intestinal infection,A0471,0,"Enterocolitis due to Clostridium difficile, recurrent"
Intestinal infection,A0472,0,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
Intestinal infection,A0472,0,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
Intestinal infection,A048,0,Other specified bacterial intestinal infections
Intestinal infection,A048,0,Other specified bacterial intestinal infections
Intestinal infection,A049,0,"Bacterial intestinal infection, unspecified"
Intestinal infection,A049,0,"Bacterial intestinal infection, unspecified"
Intestinal infection,A060,0,Acute amebic dysentery
Intestinal infection,A060,0,Acute amebic dysentery
Intestinal infection,A061,0,Chronic intestinal amebiasis
Intestinal infection,A061,0,Chronic intestinal amebiasis
Intestinal infection,A062,0,Amebic nondysenteric colitis
Intestinal infection,A062,0,Amebic nondysenteric colitis
Intestinal infection,A063,0,Ameboma of intestine
Intestinal infection,A063,0,Ameboma of intestine
Intestinal infection,A064,0,Amebic liver abscess
Intestinal infection,A064,0,Amebic liver abscess
Intestinal infection,A069,0,"Amebiasis, unspecified"
Intestinal infection,A069,0,"Amebiasis, unspecified"
Intestinal infection,A070,0,Balantidiasis
Intestinal infection,A070,0,Balantidiasis
Intestinal infection,A071,0,Giardiasis [lambliasis]
Intestinal infection,A071,0,Giardiasis [lambliasis]
Intestinal infection,A072,0,Cryptosporidiosis
Intestinal infection,A072,0,Cryptosporidiosis
Intestinal infection,A073,0,Isosporiasis
Intestinal infection,A073,0,Isosporiasis
Intestinal infection,A074,0,Cyclosporiasis
Intestinal infection,A074,0,Cyclosporiasis
Intestinal infection,A078,0,Other specified protozoal intestinal diseases
Intestinal infection,A078,0,Other specified protozoal intestinal diseases
Intestinal infection,A079,0,"Protozoal intestinal disease, unspecified"
Intestinal infection,A079,0,"Protozoal intestinal disease, unspecified"
Intestinal infection,A080,0,Rotaviral enteritis
Intestinal infection,A080,0,Rotaviral enteritis
Intestinal infection,A0811,0,Acute gastroenteropathy due to Norwalk agent
Intestinal infection,A0811,0,Acute gastroenteropathy due to Norwalk agent
Intestinal infection,A0819,0,Acute gastroenteropathy due to other small round viruses
Intestinal infection,A0819,0,Acute gastroenteropathy due to other small round viruses
Intestinal infection,A082,0,Adenoviral enteritis
Intestinal infection,A082,0,Adenoviral enteritis
Intestinal infection,A0831,0,Calicivirus enteritis
Intestinal infection,A0831,0,Calicivirus enteritis
Intestinal infection,A0832,0,Astrovirus enteritis
Intestinal infection,A0832,0,Astrovirus enteritis
Intestinal infection,A0839,0,Other viral enteritis
Intestinal infection,A0839,0,Other viral enteritis
Intestinal infection,A084,0,"Viral intestinal infection, unspecified"
Intestinal infection,A084,0,"Viral intestinal infection, unspecified"
Intestinal infection,A088,0,Other specified intestinal infections
Intestinal infection,A088,0,Other specified intestinal infections
Intestinal infection,A09,0,"Infectious gastroenteritis and colitis, unspecified"
Intestinal infection,A09,0,"Infectious gastroenteritis and colitis, unspecified"
URI (other),A155,0,"Tuberculosis of larynx, trachea and bronchus"
URI (other),A155,0,"Tuberculosis of larynx, trachea and bronchus"
UTI,A1810,0,"Tuberculosis of genitourinary system, unspecified"
UTI,A1810,0,"Tuberculosis of genitourinary system, unspecified"
UTI,A1813,0,Tuberculosis of other urinary organs
UTI,A1813,0,Tuberculosis of other urinary organs
Intestinal infection,A1832,0,Tuberculous enteritis
Intestinal infection,A1832,0,Tuberculous enteritis
Bacterial infection (other),A200,0,Bubonic plague
SSTI,A201,0,Cellulocutaneous plague
SSTI,A201,0,Cellulocutaneous plague
Pneumonia,A202,0,Pneumonic plague
Pneumonia,A202,0,Pneumonic plague
Bacterial infection (other),A203,0,Plague meningitis
Bacterial infection (other),A203,0,Plague meningitis
Bacterial infection (other),A207,0,Septicemic plague
Bacterial infection (other),A207,0,Septicemic plague
Bacterial infection (other),A208,0,Other forms of plague
Bacterial infection (other),A209,0,"Plague, unspecified"
SSTI,A210,0,Ulceroglandular tularemia
SSTI,A210,0,Ulceroglandular tularemia
Bacterial infection (other),A211,0,Oculoglandular tularemia
Bacterial infection (other),A211,0,Oculoglandular tularemia
Pneumonia,A212,0,Pulmonary tularemia
Pneumonia,A212,0,Pulmonary tularemia
Intestinal infection,A213,0,Gastrointestinal tularemia
Intestinal infection,A213,0,Gastrointestinal tularemia
Bacterial infection (other),A217,0,Generalized tularemia
Bacterial infection (other),A218,0,Other forms of tularemia
Bacterial infection (other),A219,0,"Tularemia, unspecified"
SSTI,A220,0,Cutaneous anthrax
SSTI,A220,0,Cutaneous anthrax
Pneumonia,A221,0,Pulmonary anthrax
Pneumonia,A221,0,Pulmonary anthrax
Intestinal infection,A222,0,Gastrointestinal anthrax
Intestinal infection,A222,0,Gastrointestinal anthrax
Bacterial infection (other),A227,0,Anthrax sepsis
Bacterial infection (other),A227,0,Anthrax sepsis
Bacterial infection (other),A228,0,Other forms of anthrax
Bacterial infection (other),A229,0,"Anthrax, unspecified"
Bacterial infection (other),A230,0,Brucellosis due to Brucella melitensis
Bacterial infection (other),A231,0,Brucellosis due to Brucella abortus
Bacterial infection (other),A232,0,Brucellosis due to Brucella suis
Bacterial infection (other),A233,0,Brucellosis due to Brucella canis
Bacterial infection (other),A238,0,Other brucellosis
Bacterial infection (other),A239,0,"Brucellosis, unspecified"
Bacterial infection (other),A240,0,Glanders
Bacterial infection (other),A241,0,Acute and fulminating melioidosis
Bacterial infection (other),A242,0,Subacute and chronic melioidosis
Bacterial infection (other),A243,0,Other melioidosis
Bacterial infection (other),A249,0,"Melioidosis, unspecified"
Bacterial infection (other),A250,0,Spirillosis
Bacterial infection (other),A251,0,Streptobacillosis
Bacterial infection (other),A259,0,"Rat-bite fever, unspecified"
Bacterial infection (other),A260,0,Cutaneous erysipeloid
Bacterial infection (other),A267,0,Erysipelothrix sepsis
Bacterial infection (other),A267,0,Erysipelothrix sepsis
Bacterial infection (other),A268,0,Other forms of erysipeloid
Bacterial infection (other),A269,0,"Erysipeloid, unspecified"
Bacterial infection (other),A270,0,Leptospirosis icterohemorrhagica
Bacterial infection (other),A2781,0,Aseptic meningitis in leptospirosis
Bacterial infection (other),A2781,0,Aseptic meningitis in leptospirosis
Bacterial infection (other),A2789,0,Other forms of leptospirosis
Bacterial infection (other),A279,0,"Leptospirosis, unspecified"
Bacterial infection (other),A280,0,Pasteurellosis
Bacterial infection (other),A281,0,Cat-scratch disease
Bacterial infection (other),A282,0,Extraintestinal yersiniosis
Bacterial infection (other),A288,0,"Other specified zoonotic bacterial diseases, not elsewhere classified"
Bacterial infection (other),A289,0,"Zoonotic bacterial disease, unspecified"
Bacterial infection (other),A300,0,Indeterminate leprosy
Bacterial infection (other),A301,0,Tuberculoid leprosy
Bacterial infection (other),A302,0,Borderline tuberculoid leprosy
Bacterial infection (other),A303,0,Borderline leprosy
Bacterial infection (other),A304,0,Borderline lepromatous leprosy
Bacterial infection (other),A305,0,Lepromatous leprosy
Bacterial infection (other),A308,0,Other forms of leprosy
Bacterial infection (other),A309,0,"Leprosy, unspecified"
Pneumonia,A310,0,Pulmonary mycobacterial infection
Pneumonia,A310,0,Pulmonary mycobacterial infection
SSTI,A311,0,Cutaneous mycobacterial infection
SSTI,A311,0,Cutaneous mycobacterial infection
Bacterial infection (other),A312,0,Disseminated mycobacterium avium-intracellulare complex (DMAC)
Bacterial infection (other),A318,0,Other mycobacterial infections
Bacterial infection (other),A319,0,"Mycobacterial infection, unspecified"
Bacterial infection (other),A320,0,Cutaneous listeriosis
Bacterial infection (other),A3211,0,Listerial meningitis
Bacterial infection (other),A3211,0,Listerial meningitis
Bacterial infection (other),A3212,0,Listerial meningoencephalitis
Bacterial infection (other),A3212,0,Listerial meningoencephalitis
Bacterial infection (other),A327,0,Listerial sepsis
Bacterial infection (other),A327,0,Listerial sepsis
Bacterial infection (other),A3281,0,Oculoglandular listeriosis
Bacterial infection (other),A3282,0,Listerial endocarditis
Bacterial infection (other),A3282,0,Listerial endocarditis
Bacterial infection (other),A3289,0,Other forms of listeriosis
Bacterial infection (other),A329,0,"Listeriosis, unspecified"
Bacterial infection (other),A33,0,Tetanus neonatorum
Bacterial infection (other),A33,0,Tetanus neonatorum
Bacterial infection (other),A34,0,Obstetrical tetanus
Bacterial infection (other),A34,0,Obstetrical tetanus
Bacterial infection (other),A35,0,Other tetanus
URI (other),A360,0,Pharyngeal diphtheria
URI (other),A360,0,Pharyngeal diphtheria
URI (other),A361,0,Nasopharyngeal diphtheria
URI (other),A361,0,Nasopharyngeal diphtheria
URI (other),A362,0,Laryngeal diphtheria
URI (other),A362,0,Laryngeal diphtheria
SSTI,A363,0,Cutaneous diphtheria
SSTI,A363,0,Cutaneous diphtheria
Bacterial infection (other),A3681,0,Diphtheritic cardiomyopathy
Bacterial infection (other),A3681,0,Diphtheritic cardiomyopathy
Bacterial infection (other),A3682,0,Diphtheritic radiculomyelitis
Bacterial infection (other),A3683,0,Diphtheritic polyneuritis
Bacterial infection (other),A3683,0,Diphtheritic polyneuritis
Bacterial infection (other),A3684,0,Diphtheritic tubulo-interstitial nephropathy
Bacterial infection (other),A3684,0,Diphtheritic tubulo-interstitial nephropathy
UTI,A3685,0,Diphtheritic cystitis
UTI,A3685,0,Diphtheritic cystitis
Bacterial infection (other),A3686,0,Diphtheritic conjunctivitis
Bacterial infection (other),A3686,0,Diphtheritic conjunctivitis
Bacterial infection (other),A3689,0,Other diphtheritic complications
Bacterial infection (other),A369,0,"Diphtheria, unspecified"
Bacterial infection (other),A3700,0,Whooping cough due to Bordetella pertussis without pneumonia
Pneumonia,A3701,0,Whooping cough due to Bordetella pertussis with pneumonia
Pneumonia,A3701,0,Whooping cough due to Bordetella pertussis with pneumonia
Bacterial infection (other),A3710,0,Whooping cough due to Bordetella parapertussis without pneumonia
Pneumonia,A3711,0,Whooping cough due to Bordetella parapertussis with pneumonia
Pneumonia,A3711,0,Whooping cough due to Bordetella parapertussis with pneumonia
Bacterial infection (other),A3780,0,Whooping cough due to other Bordetella species without pneumonia
Pneumonia,A3781,0,Whooping cough due to other Bordetella species with pneumonia
Pneumonia,A3781,0,Whooping cough due to other Bordetella species with pneumonia
Bacterial infection (other),A3790,0,"Whooping cough, unspecified species without pneumonia"
Pneumonia,A3791,0,"Whooping cough, unspecified species with pneumonia"
Pneumonia,A3791,0,"Whooping cough, unspecified species with pneumonia"
Otitis media,A380,0,Scarlet fever with otitis media
Otitis media,A380,0,Scarlet fever with otitis media
Bacterial infection (other),A381,0,Scarlet fever with myocarditis
Bacterial infection (other),A381,0,Scarlet fever with myocarditis
Bacterial infection (other),A388,0,Scarlet fever with other complications
Bacterial infection (other),A389,0,"Scarlet fever, uncomplicated"
Bacterial infection (other),A390,0,Meningococcal meningitis
Bacterial infection (other),A390,0,Meningococcal meningitis
Bacterial infection (other),A391,0,Waterhouse-Friderichsen syndrome
Bacterial infection (other),A391,0,Waterhouse-Friderichsen syndrome
Bacterial infection (other),A392,0,Acute meningococcemia
Bacterial infection (other),A392,0,Acute meningococcemia
Bacterial infection (other),A393,0,Chronic meningococcemia
Bacterial infection (other),A393,0,Chronic meningococcemia
Bacterial infection (other),A394,0,"Meningococcemia, unspecified"
Bacterial infection (other),A394,0,"Meningococcemia, unspecified"
Bacterial infection (other),A3950,0,"Meningococcal carditis, unspecified"
Bacterial infection (other),A3950,0,"Meningococcal carditis, unspecified"
Bacterial infection (other),A3951,0,Meningococcal endocarditis
Bacterial infection (other),A3951,0,Meningococcal endocarditis
Bacterial infection (other),A3952,0,Meningococcal myocarditis
Bacterial infection (other),A3952,0,Meningococcal myocarditis
Bacterial infection (other),A3953,0,Meningococcal pericarditis
Bacterial infection (other),A3953,0,Meningococcal pericarditis
Bacterial infection (other),A3981,0,Meningococcal encephalitis
Bacterial infection (other),A3981,0,Meningococcal encephalitis
Bacterial infection (other),A3982,0,Meningococcal retrobulbar neuritis
Bacterial infection (other),A3982,0,Meningococcal retrobulbar neuritis
Bacterial infection (other),A3983,0,Meningococcal arthritis
Bacterial infection (other),A3983,0,Meningococcal arthritis
Bacterial infection (other),A3984,0,Postmeningococcal arthritis
Bacterial infection (other),A3984,0,Postmeningococcal arthritis
Bacterial infection (other),A3989,0,Other meningococcal infections
Bacterial infection (other),A399,0,"Meningococcal infection, unspecified"
Bacterial infection (other),A400,0,"Sepsis due to streptococcus, group A"
Bacterial infection (other),A400,0,"Sepsis due to streptococcus, group A"
Bacterial infection (other),A401,0,"Sepsis due to streptococcus, group B"
Bacterial infection (other),A401,0,"Sepsis due to streptococcus, group B"
Bacterial infection (other),A403,0,Sepsis due to Streptococcus pneumoniae
Bacterial infection (other),A403,0,Sepsis due to Streptococcus pneumoniae
Bacterial infection (other),A408,0,Other streptococcal sepsis
Bacterial infection (other),A408,0,Other streptococcal sepsis
Bacterial infection (other),A409,0,"Streptococcal sepsis, unspecified"
Bacterial infection (other),A409,0,"Streptococcal sepsis, unspecified"
Bacterial infection (other),A4101,0,Sepsis due to Methicillin susceptible Staphylococcus aureus
Bacterial infection (other),A4101,0,Sepsis due to Methicillin susceptible Staphylococcus aureus
Bacterial infection (other),A4102,0,Sepsis due to Methicillin resistant Staphylococcus aureus
Bacterial infection (other),A4102,0,Sepsis due to Methicillin resistant Staphylococcus aureus
Bacterial infection (other),A411,0,Sepsis due to other specified staphylococcus
Bacterial infection (other),A411,0,Sepsis due to other specified staphylococcus
Bacterial infection (other),A412,0,Sepsis due to unspecified staphylococcus
Bacterial infection (other),A412,0,Sepsis due to unspecified staphylococcus
Bacterial infection (other),A413,0,Sepsis due to Hemophilus influenzae
Bacterial infection (other),A413,0,Sepsis due to Hemophilus influenzae
Bacterial infection (other),A414,0,Sepsis due to anaerobes
Bacterial infection (other),A414,0,Sepsis due to anaerobes
Bacterial infection (other),A4150,0,"Gram-negative sepsis, unspecified"
Bacterial infection (other),A4150,0,"Gram-negative sepsis, unspecified"
Bacterial infection (other),A4151,0,Sepsis due to Escherichia coli [E. coli]
Bacterial infection (other),A4151,0,Sepsis due to Escherichia coli [E. coli]
Bacterial infection (other),A4152,0,Sepsis due to Pseudomonas
Bacterial infection (other),A4152,0,Sepsis due to Pseudomonas
Bacterial infection (other),A4153,0,Sepsis due to Serratia
